timestamp,open,high,low,close,volume
2020-02-19,923.5000,944.7800,901.0200,917.4200,25194178
2020-02-18,841.6000,860.0000,832.3600,858.4000,16249478
2020-02-14,787.2200,812.9700,785.5000,800.0300,15693711
2020-02-13,741.8400,818.0000,735.0000,804.0000,26289348
2020-02-12,777.8700,789.7500,763.3700,767.2900,12022470
2020-02-11,768.7900,783.5061,758.0000,774.3800,11697473
2020-02-10,800.0000,819.9900,752.4000,771.2800,24689163
2020-02-07,730.5500,769.7500,730.0000,748.0700,17063521
2020-02-06,699.9200,795.8300,687.0000,748.9600,39880752
2020-02-05,823.2600,845.9800,704.1106,734.7000,48423837
2020-02-04,882.9600,968.9899,833.8800,887.0600,60938758
2020-02-03,673.6900,786.1400,673.5200,780.0000,47233495
2020-01-31,640.0000,653.0000,632.5200,650.5700,15719266
2020-01-30,632.4200,650.8800,618.0000,640.8100,29005676
2020-01-29,575.6900,589.7999,567.4300,580.9900,18216672
2020-01-28,568.4900,576.8100,558.0800,566.9000,11788493
2020-01-27,541.9900,564.4400,539.2800,558.0200,13608068
2020-01-24,570.6300,573.8600,554.2600,564.8200,14353600
2020-01-23,564.2500,582.0000,555.6027,572.2000,19651042
2020-01-22,571.8900,594.5000,559.1000,569.5600,31369028
2020-01-21,530.2500,548.5800,528.4100,547.2000,17447270
2020-01-17,507.6100,515.6699,503.1600,510.5000,13629073
2020-01-16,493.7500,514.4600,492.1700,513.4900,21736653
2020-01-15,529.7600,537.8400,516.7853,518.5000,17368831
2020-01-14,544.2550,547.4100,524.9000,537.9200,29061377
2020-01-13,493.5000,525.6300,492.0000,524.8600,26307458
2020-01-10,481.7900,484.9400,473.7000,478.1500,12976832
2020-01-09,497.1000,498.8000,472.8700,481.3400,28463186
2020-01-08,473.7000,498.4900,468.2300,492.1400,31199393
2020-01-07,461.4000,471.6300,453.3550,469.0600,18209138
2020-01-06,440.4700,451.5600,440.0000,451.5400,10157499
2020-01-03,440.5000,454.0000,436.9200,443.0100,17794697
2020-01-02,424.5000,430.6957,421.7100,430.2600,9558386
2019-12-31,405.0003,421.2900,402.0800,418.3300,10292456
2019-12-30,428.7900,429.0000,409.2589,414.7000,12601265
2019-12-27,435.0000,435.3100,426.1100,430.3800,9956827
2019-12-26,427.9100,433.4800,426.3500,430.9400,10648289
2019-12-24,418.3600,425.4700,412.6875,425.2500,8054720
2019-12-23,411.7800,422.0100,410.0000,419.2200,13332821
2019-12-20,410.2900,413.0000,400.1850,405.5900,14785206
2019-12-19,397.3200,406.8500,396.5000,404.0400,18120307
2019-12-18,380.6300,395.2200,380.5800,393.1500,14136392
2019-12-17,378.9900,385.5000,375.9000,378.9900,8503775
2019-12-16,362.5500,383.6100,362.5000,381.5000,18220940
2019-12-13,361.0500,365.2100,354.6400,358.3900,6574281
2019-12-12,354.9200,362.7400,353.2300,359.6800,7776211
2019-12-11,351.8765,357.1899,351.0900,352.7000,6919162
2019-12-10,339.9600,350.7300,339.3100,348.8400,8839951
2019-12-09,336.5900,344.4500,335.0800,339.5300,9040217
2019-12-06,335.0000,338.8600,334.7700,335.8900,7618937
2019-12-05,332.8300,334.4227,327.2500,330.3700,3736976
2019-12-04,337.7500,337.8600,332.8500,333.0300,5536255
2019-12-03,332.6200,337.9100,332.1860,336.2000,6613476
2019-12-02,329.4000,336.3827,328.6870,334.8700,6081986
2019-11-29,331.1100,331.2600,327.5000,329.9400,2465629
2019-11-27,331.1200,333.9300,328.5700,331.2900,5563459
2019-11-26,335.2700,335.5000,327.1000,328.9200,7956239
2019-11-25,344.3200,344.5700,334.4600,336.3400,12345765
2019-11-22,340.1600,341.0000,330.0000,333.0400,16870642
2019-11-21,354.5100,360.8400,354.0039,354.8300,6110013
2019-11-20,360.0000,361.2000,349.5700,352.2200,6733965
2019-11-19,351.7500,359.9900,347.8000,359.5200,7736078
2019-11-18,352.9165,353.1500,346.1000,349.9900,4408505
2019-11-15,350.6400,352.8000,348.3600,352.1700,4812563
2019-11-14,346.1100,353.8400,342.9100,349.3500,6471703
2019-11-13,355.0000,356.3300,345.1800,346.1100,8467863
2019-11-12,346.9000,350.3700,344.0400,349.9300,7359383
2019-11-11,343.9500,349.1900,342.0000,345.0900,9993689
2019-11-08,334.5000,337.4600,332.5000,337.1400,6074221
2019-11-07,329.1400,341.5000,328.0200,335.5400,14467348
2019-11-06,318.0000,326.7200,314.5000,326.5800,7940932
2019-11-05,319.6200,323.5100,316.1180,317.2200,6943417
2019-11-04,314.8000,321.9400,309.2600,317.4700,8787040
2019-11-01,316.3200,316.4800,309.8000,313.3100,6383929
2019-10-31,313.1000,319.0000,313.0000,314.9200,5066956
2019-10-30,313.0000,318.7900,309.9700,315.0100,9641810
2019-10-29,319.9900,324.3000,314.7500,316.2200,12684267
2019-10-28,327.5400,340.8400,322.6000,327.7100,18737839
2019-10-25,297.7200,330.0000,296.1100,328.1300,30006091
2019-10-24,298.3700,304.9300,289.2000,299.6800,29819231
2019-10-23,254.5000,256.1400,251.3500,254.6800,11216182
2019-10-22,254.3200,258.3300,250.8500,255.5800,4625095
2019-10-21,258.3300,259.5000,250.1800,253.5000,5020339
2019-10-18,260.7000,262.8000,255.1000,256.9500,5720888
2019-10-17,262.5000,264.7800,260.1700,261.9700,4779043
2019-10-16,257.3900,262.1000,256.9200,259.7500,6704303
2019-10-15,257.7000,260.0000,254.1200,257.8900,6479456
2019-10-14,247.9000,258.5500,247.1300,256.9600,10226863
2019-10-11,247.1500,251.0800,246.8100,247.8900,8488159
2019-10-10,245.2800,249.2800,241.5800,244.7400,6313417
2019-10-09,241.3200,247.2950,240.6500,244.5300,6935033
2019-10-08,235.8700,243.9400,234.5000,240.0500,8702338
2019-10-07,229.8000,238.5600,228.5500,237.7200,8086957
2019-10-04,231.6100,234.7800,228.0700,231.4300,8021180
2019-10-03,231.8600,234.4800,224.2800,233.0300,15137763
2019-10-02,243.2900,244.6500,239.4300,243.1300,6256548
2019-10-01,241.5000,245.9500,239.1300,244.6900,6196290
2019-09-30,243.0000,243.9800,236.1111,240.8700,5946161
2019-09-27,242.2000,248.7100,238.7300,242.1300,11123179
2019-09-26,230.6600,243.3100,227.4000,242.5600,12078785
