timestamp,open,high,low,close,volume
2020-02-24,223.2300,226.6900,222.5400,224.5400,4138388
2020-02-21,230.9100,231.7994,228.3700,230.6200,3081618
2020-02-20,236.4100,236.9000,231.2500,232.7300,3181512
2020-02-19,235.0000,237.8000,233.2800,237.3300,2205779
2020-02-18,236.5500,237.0700,231.2000,233.2100,2736548
2020-02-14,237.9400,239.0100,236.2300,237.0800,1718182
2020-02-13,237.8500,238.9700,236.5700,238.3500,1461322
2020-02-12,238.0100,241.1800,237.7200,238.6500,2119117
2020-02-11,239.0000,239.5500,236.2200,236.4600,2238769
2020-02-10,237.4000,237.8700,235.4556,237.3600,2590392
2020-02-07,239.7500,240.5200,236.5500,238.0000,3006472
2020-02-06,245.3500,245.7700,241.1800,241.8200,2225596
2020-02-05,244.9900,245.1300,243.0000,244.3000,3126559
2020-02-04,242.8800,243.7400,241.5500,241.9400,3052543
2020-02-03,238.3600,242.3900,238.0500,239.0100,2732981
2020-01-31,241.9900,242.8900,236.8800,237.7500,3482119
2020-01-30,237.6900,244.3400,236.7300,244.1300,3260325
2020-01-29,244.5200,246.5000,239.5697,240.1200,3711269
2020-01-28,239.4900,243.5800,238.0500,242.5800,3122853
2020-01-27,236.3700,238.9900,235.0112,238.1400,2505140
2020-01-24,245.0700,245.7093,240.6000,241.9200,2876889
2020-01-23,244.5000,247.0000,242.8800,245.5800,2806663
2020-01-22,246.6100,248.5200,246.3400,247.0500,2030921
2020-01-21,247.2100,248.8500,245.6000,245.7000,2491852
2020-01-17,250.2300,250.4600,248.0000,249.4600,3096791
2020-01-16,247.0100,249.8200,246.2300,249.7200,3966823
2020-01-15,242.0000,249.5000,239.1600,245.2100,5409431
2020-01-14,245.3200,248.5200,244.6000,245.6600,4300777
2020-01-13,244.4400,246.1100,243.0000,245.2100,3363710
2020-01-10,242.7500,243.3900,241.3900,242.1100,2247786
2020-01-09,241.3400,243.4000,239.8200,242.6000,3980323
2020-01-08,235.6800,239.7500,235.4800,237.7600,3564621
2020-01-07,235.0000,237.7700,234.7600,235.4900,5383234
2020-01-06,229.9300,234.0200,229.4900,233.9500,3326802
2020-01-03,231.6000,232.6100,230.3000,231.5800,2274472
2020-01-02,231.0000,234.6400,230.1600,234.3200,3736328
2019-12-31,229.7100,229.9700,228.6700,229.9300,1447233
